français;anglais;variante_anglais;genre;classe
Abonné itinérant;Roaming subscriber;;;nom
Accès;Hit;;m;nom
Accès direct;Direct access;;;nom
Accès direct;Random access;;;nom
Accès hertzien;Access network;;;nom
Accès hertzien;Local loop;;;nom
Accès multiple;Multiple access;;;nom
Accès multiple par répartition en code (AMRC);Code division multiple access (CDMA);;;nom
Accès multiple par répartition en fréquence (AMRF);Frequency division multiple access (FDMA);;;nom
Accès multiple par répartition temporelle (AMRT);Time division multiple access (TDMA);;;nom
Accès sans fil à l’internet (ASFI);Wireless internet access;;;nom
Accès séquentiel;Serial access;;;nom
Accréditation;Credentials;;f;nom
Actionneur;Actuator;;m;nom
Additif;Add-on;;m;nom
Administrateur, -trice (de site, de serveur);Webmaster;;;nom
Adressage dispersé;Hash code;;;nom
Adressage dispersé;Hash coding;;;nom
Adresse de courrier électronique;E-mail address;;;nom
Adresse informatique;Address;;f;nom
Adresse;Address;;f;nom
Adresse universelle;Uniform resource locator (URL);;;nom
Adresse universelle;Universal resource locator (URL);;;nom
Affaiblissement;Attenuation;;m;nom
Affaiblissement;Loss;;m;nom
Affichage;Display;;m;nom
Affichage à émission d’électrons par conduction de surface (AEC);Surface-conduction electron-emitter display (SED);;;nom
Afficher;Display (to);;;verbe
Agenda électronique;Organizer;;;nom
Agent;Agent;;m;nom
Aide au dépannage;Troubleshooting;;;nom
Algorithmique;Algorithmics;;f;nom
Amorce;Boot;;f;nom
Amorcer;Boot (to);;;verbe
Ancre;Anchor;;f;nom
Animateur-trice de communauté;Community manager;;;nom
Animateur-trice de communauté en ligne;Community manager;;;nom
Animatique;Animatics;;f;nom
Anneau de sites;Webring;;;nom
Annuaire électronique;Electronic directory;;;nom
Antémémoire;Cache memory;;f;nom
Antémémoire;Cache storage;;f;nom
Anticrènelage;Antialiasing;;m;nom
Appairage;Peering;;m;nom
Appariement de formes;Pattern matching;;;nom
Appliquette;Applet;;f;nom
Apportez votre équipement personnel de communication (AVEC);Bring your own device (BYOD);;;nom
Apprentissage par les réseaux;Social learning;;;nom
Ardoise électronique;Notepad computer;;;nom
Arrière-guichet;Back office;;m;nom
Arrière-plan (d’);Background;;;locution adjective
Arrobe;At-sign;;f;nom
Arrosage;Spamming;;m;nom
Arroseur, -euse;Spammer;;;nom
Article de forum;News posting;;;nom
Article de forum;News item;;;nom
Article de forum;News article;;;nom
Assemblage;Assembly;;m;nom
Assistant;Wizard;;m;nom
Assistant électronique de poche (ADP);Personal digital assistant (PDA);;;nom
Atelier collaboratif;Fablab;;;nom
Atelier collaboratif;Fabrication laboratory;;;nom
Atelier de fabrication collaboratif;Fablab;;;nom
Atelier de fabrication collaboratif;Fabrication laboratory;;;nom
Audioconférence;Audioconference;;f;nom
Audiofréquence;Audiofrequency;;f;nom
Autonome;Off line;;;adjectif
Autonome;Off-line;;;adjectif
Autonome;Offline;;;adjectif
Autoroutes de l’information;Infobahn (all);;;nom
Autoroutes de l’information;Information highway;;;nom
Autoroutes de l’information;Information superhighway;;;nom
Avatar;Avatar;;m;nom
Balise;Tag;;f;nom
Balise;Beacon;;f;nom
Balise;Beacon;;f;nom
Bande de fréquences banalisée;Citizen’s band (CB);;;nom
Bannière;Skyscraper;;f;nom
Banque de connaissances;Knowledge pool;;;nom
Banque de données;Data bank;;;nom
Barre d’actualités;Newsbar;;f;nom
Barre;Newsbar;;f;nom
Barrière de sécurité;Firewall;;;nom
Base de connaissances;Knowledge database;;;nom
Base de connaissances;Knowledge base;;;nom
Base de données;Data base;;;nom
Base de données;Database;;;nom
Bibande;Dual band;;m;adjectif
Bibliothèque de cellules;Cell library;;;nom
Bimode;Dual mode;;m;adjectif
Bloc;Block;;m;nom
Bloc de propriété intellectuelle (BPI);Intellectual property block;;;nom
Bloc de propriété intellectuelle (BPI);IP block;;;nom
Bloc de propriété intellectuelle (BPI);IP core;;;nom
Bloc de PI;Intellectual property block;;;nom
Bloc de PI;IP block;;;nom
Bloc de PI;IP core;;;nom
Bloc-notes électronique;Notebook;;;nom
Bloc-notes électronique;Notebook computer;;;nom
Blogue;Blog;;m;nom
Blogue;Weblog;;m;nom
Bogue;Bug;;m;nom
Boîte aux lettres;Mail box;;;nom
Boîtier;Package;;m;nom
Boîtier adaptateur;Set top box;;;nom
Boîtier à puce;Chip-scale package (CSP);;;nom
Boîtier matriciel;Grid array;;;nom
Boîtier matriciel à billes;Ball grid array (BGA);;;nom
Boîtier matriciel à broches;Pin grid array (PGA);;;nom
Boîtier multiservice;–;;m;nom
Boîtier;–;;m;nom
Boîtier-système;System in package (SIP);;m;nom
Bombardement;Bombing;;m;nom
Bombe programmée;Logic bomb;;f;nom
Bombe;Logic bomb;;f;nom
Boule de commande;Rolling ball;;;nom
Boule de commande;Trackball;;;nom
Brasage;Brazing;;m;nom
Brasage;Soldering;;m;nom
Bribe;Chip;;f;nom
Broche de raccordement;Lead;;;nom
Broche de raccordement;Package pin;;;nom
Broche de raccordement;Pin;;;nom
Brouillage;Interference;;m;nom
Brouillage;Obfuscation;;m;nom
Bureautique;Bureautics;;f;nom
Bureautique;Office automation;;f;nom
Bus;Bus;;m;nom
Câblage;Wiring;;m;nom
Cache;Cache;;m;nom
Cache-disque;Disk cache;;m;nom
Cache-toile;Web cache;;m;nom
Cachet postal électronique;Digital postmark;;;nom
Cachet postal électronique;Electronic postmark (EPM);;;nom
Cadre;Frame;;m;nom
Cadre;Frame;;m;nom
Calculateur;Computer;;m;nom
Calculette;Pocket calculator;;f;nom
Calcul intensif;Supercomputing;;;nom
Canal banalisé (CB);Citizen’s band radio (CB);;;nom
Canal de fréquences;Channel;;;nom
Canal de fréquences;Frequency channel;;;nom
Canal radioélectrique;Channel;;;nom
Canal radioélectrique;Radiofrequency channel;;;nom
Canal radioélectrique;Rf channel;;;nom
Canular;Hoax;;m;nom
Caractérisation;Characterisation;en_uk;f;nom
Caractérisation;Characterization;en_us;f;nom
Carillon;Earcon;;m;nom
Carrousel;Cover flow-like design;;m;nom
Carte électronique;Board;;;nom
Carte électronique;Electronic board;;;nom
Carte fille;Daughter board;;;nom
Carte fille;Daughterboard;;;nom
Carte fille;Daughter card;;;nom
Carte fille;Daughtercard;;;nom
Carte mère;Mother board;;;nom
Carte mère;Motherboard;;;nom
Carte mère;Mother card;;;nom
Carte mère;Mothercard;;;nom
Carte sim;Sim card;;;nom
Carte sim;Subscriber identification module (SIM);;;nom
Cébiste;CB user;;;nom
Cédérom;Compact disk read-only memory (cd-rom);;m;nom
Cédérom autonome;Live CD;;;nom
Cédérom interactif;Compact disk- interactive (CD-I);;;nom
Cellule;Cell;;f;nom
Cellule;Cell;;f;nom
Cellule binaire;Binary cell;;;nom
Cellule binaire;Bit cell;;;nom
Cellule binaire;Single-level cell (SLC);;;nom
Cellule de mémoire;Memory cell;;;nom
Cellule multiniveau;Multi-level cell (MLC);;;nom
Cellule multiniveau;Multilevel cell (MLC);;;nom
Centre d’appels;Call center;en_us;;nom
Centre d’appels;Call centre;en_uk;;nom
Centre d’assistance;Help desk;;;nom
Centre de commutation du service des mobiles;Mobile switching centre (MSC);;;nom
Centre de conception;Design center;en_us;;nom
Centre de conception;Design centre;en_uk;;nom
Cercle de confiance;Circle of trust;;;nom
Charge utile;Payload;;;nom
Cheval de troie;Trojan horse;;;nom
Chiffre binaire;Binary digit;;;nom
Chiffre binaire;Bit;;;nom
Circuit à configurations multiples;Reconfigurable circuit;;;nom
Circuit de télécommunication;Circuit;;;nom
Circuit de télécommunication;Telecommunication circuit;;;nom
Circuit imprimé nu;Printed circuit board (PCB);;;nom
Circuit intégré développé pour un client (CIC);Application specific integrated circuit (ASIC);;;nom
Circuit intégré développé pour un client (CIC);User specific integrated circuit (USIC);;;nom
Circuit intégré client ;Application specific integrated circuit (ASIC);;;nom
Circuit intégré client ;User specific integrated circuit (USIC);;;nom
Circuit intégré hybride;Hybrid integrated circuit (HIC);;;nom
Circuit intégré précaractérisé;Cell based;;;nom
Circuit intégré précaractérisé;Cell based circuit;;;nom
Circuit intégré précaractérisé;Standard cell;;;nom
Circuit intégré prédiffusé;Diffusion cell array;;;nom
Circuit intégré prédiffusé;Gate array;;;nom
Circuit intégré prédiffusé programmable;Field programmable gate array (FPGA);;;nom
Circuit intégré semi-personnalisé;Semi- custom circuit;;m;nom
Circuit intégré sur mesure;Full custom circuit;;;nom
Circuit tampon;Buffer circuit;;;nom
Circuit virtuel;Virtual circuit;;;nom
Circuit virtuel commuté;Switched virtual circuit;;;nom
Circuit virtuel permanent;Permanent virtual circuit;;;nom
Clicher;Dump (to);;;verbe
Cliquer;Click (to);;;nom
Cliquer-parler;Click and talk;;m;nom
Cliquer-parler;Web call back;;m;nom
Cliquer-parler;Web call through;;m;nom
Cocuisson;Cofiring;;f;nom
Cocuit;Cofired;;;adjectif
Code à octets;Bytecode;;;nom
Codet;Code element;;m;nom
Cœur de processeur;Core;;m;nom
Cœur de processeur;Processor core;;m;nom
Cœur;Core;;m;nom
Cœur;Processor core;;m;nom
Cofrittage;Cofiring;;m;nom
Cofritté, -e;Cofired;;;adjectif
Collage;Bootleg (collage musical);;m;nom
Collage;Mash-up;;m;nom
Collage;Mashup;;m;nom
Collecteur;Crawler;;m;nom
Communication en champ proche (CCP);Near field communication (NFC);;;nom
Commutation analogique;Analog switching;en_us;;nom
Commutation analogique;Analogue switching;en_uk;;nom
Commutation de circuits;Circuit switching;;;nom
Commutation de messages;Message switching;;;nom
Commutation de messages;Store-and-forward switching;;;nom
Commutation de paquets;Packet switching;;;nom
Commutation numérique;Digital switching;;;nom
Commutation spatiale;Space-division switching;;;nom
Commutation spatiale multiplexée;Time-multiplex switching;;;nom
Commutation temporelle;Time-division switching;;;nom
Commutation temporelle;Time-division switching;;;nom
Complément de service;Supplementary service;;;nom
Composant discret;Discrete component;;;nom
Composant spécifique standard (CSS);Application specific standard product (ASSP);;;nom
Compresser;Compress (to);;;verbe
Compresser;Zip (to);;;verbe
Concentrateur;Hub;;m;nom
Concepteur de circuits;Circuit designer;;;nom
Conception;Design;;f;nom
Conception assistée par ordinateur appliquée à l’électronique (CAOE);Electronic computer-aided design (ECAD);;;nom
Conception pour test;Design for testability;;;nom
Conducteur-poutre;Beam lead;;m;nom
Conférence téléphonique;Conference call;;;nom
Conférence téléphonique;Conference calling;;;nom
Configurer;Configure (to);;;verbe
Connectabilité;Connectivity;;f;nom
Connecteur logiciel;Socket;;;nom
Connexion;Log in;;f;nom
Connexion;Log on;;f;nom
Connexité;Connectivity;;f;nom
Conservation du numéro;Number portability;;;nom
Console de visualisation;Display unit;;;nom
Contrôleur de mémoire;Integrated memory controller (IMC);;;nom
Contrôleur de mémoire;Memory controller hub (MCH);;;nom
Contrôleur de mémoire;Northbridge;;;nom
Contrôleur d’entrée et de sortie;Input/output controller hub;;;nom
Contrôleur d’entrée et de sortie;I/o controller hub (ICH);;;nom
Contrôleur d’entrée et de sortie;Platform controller hub (PCH);;;nom
Contrôleur d’entrée et de sortie;Southbridge;;;nom
Contrôleur d’entrée-sortie ;Input/output controller hub;;;nom
Contrôleur d’entrée-sortie ;I/o controller hub (ICH);;;nom
Contrôleur d’entrée-sortie ;Platform controller hub (PCH);;;nom
Contrôleur d’entrée-sortie ;Southbridge;;;nom
Conversation à trois;3pty;;;nom
Conversation à trois;Three-party call;;;nom
Conversation à trois;Three-party calling;;;nom
Conversation à trois;Three-party conference;;;nom
Conversation à trois;Three-way calling;;;nom
Convertisseur analogique-numérique (CAN);Analog-to-digital converter (ADC);en_us;;nom
Convertisseur analogique-numérique (CAN);Analogue-to-digital converter (ADC);en_uk;;nom
Convertisseur A/N;Analog-to-digital converter (ADC);en_us;;nom
Convertisseur A/N;Analogue-to-digital converter (ADC);en_uk;;nom
Convivialité;User-friendliness;;f;nom
Copiage de carte;Card skimming;;;nom
Copiage de carte;Credit card skimming;;;nom
Copiage de carte;Skimming;;;nom
Copieur de carte;Credit card skimmer;;;nom
Copieur de carte;Credit card skimming device;;;nom
Copieur de carte;Skimmer;;;nom
Copieur de carte;Skimming device;;;nom
Coprocesseur;Coprocessor;;m;nom
Couplage de la téléphonie et de l’informatique (CTI);Computer telephony integration (CTI);;;nom
Couplage téléphonie- informatique;Computer telephony integration (CTI);;;nom
Courriel;Electronic mail;;m;nom
Courriel;E-mail;;m;nom
Courrier hybride;Hybrid mail;;;nom
Cours en ligne d’accès restreint (CLAR);Small private online course (SPOC);;;nom
Cours en ligne ouvert à tous;Massively open online course (MOOC);;;nom
Cours en ligne ouvert à tous;Massive open online course (MOOC);;;nom
Créneau temporel;Time-slot;;;nom
Crènelage;Aliasing;;m;nom
Cyberconférence;E-conference;;f;nom
Cyberconférence;Web conference;;f;nom
Cyberconférence;Web conferencing;;f;nom
Cybersquat;Cybersquatting;;m;nom
Cybersquatteur, -euse;Cybersquatter;;;nom
Déblocage;Unlocking;;m;nom
Débogage;Debugging;;m;nom
Déboguer;Debug (to);;;verbe
Débogueur;Debugger;;m;nom
Débrider;Jailbreak (to);;;verbe
Découpage temporel;Time slicing;;;nom
Défaillance;Failure;;f;nom
Défilement;Scrolling;;m;nom
Définition;Scrolling;;f;nom
Dégroupage;Unbundling;;m;nom
Démon;Daemon;;m;nom
Démon;Disk and execution monitor;;m;nom
Démon de messagerie;Mailer daemon;;;nom
Démultiplexage;Demultiplexing;;m;nom
Démultiplexer;Demultiplex (to);;;verbe
Démultiplexeur;Demultiplexer;;m;nom
Descendant, -e;Downstream;;;adjectif
Descripteur;Descriptor;;m;nom
Désembrouillage;Descrambling;;m;nom
Désembrouiller;Descramble (to);;;verbe
Désembrouilleur;Descrambler;;m;nom
Desserte par fibre (DF);Fiber in the loop (FITL);;;nom
Desserte par fibre (DF);Fiber to the… (FTTX);;;nom
Desserte par fibre de l’abonné (DFA);Fiber to the home (FTTH);;;nom
Desserte par fibre de l’abonné (DFA);Fiber to the office (FTTO);;;nom
Desserte par fibre de l’abonné (DFA);Fiber to the premises (FTTP);;;nom
Desserte par fibre de l’immeuble (DFI);Fiber to the building (FTTB);;;nom
Desserte par fibre de l’immeuble (DFI);Fiber to the curb (FTTC);;;nom
Détournement;Slamming;;m;nom
Déverminage;Burn-in;;m;nom
Déverrouillage sim;Sim unlocking;;m;nom
Déverrouillage;Sim unlocking;;m;nom
Déviation d’appels;Call deflection;;;nom
Dévideur;Streamer;;m;nom
Dévoiement;Pharming;;m;nom
Dialogue en ligne;Chat;;;nom
Diffusion;Diffusion;;f;nom
Diffusion ciblée;Narrowcast;;;nom
Diffusion ciblée;Narrowcasting;;;nom
Diffusion générale;Broadcast;;;nom
Diffusion groupée;Multicasting;;;nom
Diffusion pour baladeur;Podcasting;;;nom
Diffusion systématique sur la toile;Netcasting;;;nom
Diffusion systématique sur la toile;Webcasting;;;nom
Diode électroluminescente (DEL);Light-emitting diode (LED);;;nom
Diode électroluminescente organique (DELO);Organic light-emitting diode (OLED);;;nom
Directeur des systèmes d’information (DSI);Chief information officer (CIO);;;nom
Directeur des techniques informatiques (DTI);Chief technology officer (CTO);;;nom
Dispositif à couplage de charge (DCC);Charge-coupled device (CCD);;;nom
Dispositif à transfert de charges (DTC);Charge-transfer device (CTD);;;nom
Dispositif en chapelet;Bucket-brigade device (BBD);;;nom
Disque compact;Compact disk (CD);;;nom
Disque compact;Compact disk (CD);;;nom
Disque dur hybride (DDH);Hybrid hard drive (HHD);;;nom
Disque numérique polyvalent;Digital versatile disk (DVD);;;nom
Disque optique;Optical disk;;;nom
Disque statique à semiconducteurs (DSS);Solid state disk (SSD);;;nom
Disque statique;Solid state disk (SSD);;;nom
Disque statique;Solid state drive (SSD);;;nom
Disque statique;Solid state drive (SSD);;;nom
Disquette;Diskette;;f;nom
Disquette;Floppy disk;;f;nom
Disque vidéo à durée déterminée (DVDD);Disposable dvd;;;nom
Disque vidéo à durée déterminée (DVDD);Self-destructing DVD;;;nom
Distribution sélective;Push technology;;;nom
Documentation intégrée (à);Self-documented;;;nom
Domaine;Domain;;m;nom
Domaine de premier niveau;Top-level domain (TLD);;;nom
Donnée;Data;;f;nom
Données ouvertes;Open data;;;nom
Dorsale;Backbone;;f;nom
Droit irrévocable d’usage  (DIU);Indefeasible right of use (IRU);;;nom
Échange de données informatisé (EDI);Electronic data interchange (EDI);;;nom
Écotechniques de l’information et de la communication (éco-tic);Green information technology;;;nom
Écotechniques de l’information et de la communication (éco-tic);Green it;;;nom
Écran à double affichage;Dual view display;;;nom
Écran à double affichage;Dual view lcd;;;nom
Écran tactile;Touch screen;;;nom
Écriture directe;Direct writing;;;nom
Éditeur;Editor;;m;nom
Élément binaire;Binary character;;m;nom
Élément binaire;Binary digit;;m;nom
Élément binaire;Bit;;m;nom
Embrouillage;Scrambling;;m;nom
Embrouiller;Scramble (to);;;verbe
Embrouilleur;Scrambler;;m;nom
Encapsulation sur tranche;Wafer-level packaging (WLP);;;nom
Encre électronique;E-ink;;;nom
Encre électronique;Electronic ink;;;nom
Encre en poudre;Toner;;;nom
Enfant du numérique;Digital native;;;nom
Enregistreur de frappe;Keylogger;;;nom
Entrepôt de données;Data warehouse;;;nom
Environnement de développement;Application framework;;;nom
Environnement de développement;Framework;;;nom
Environnement de développement;Integrated development environment (IDE);;;nom
Envoi à la cantonade;Anycast;;;nom
Envoi à la cantonade;Anycasting;;;nom
Envoi individuel;Unicast;;;nom
Envoi individuel;Unicasting;;;nom
Épitaxie;Epitaxy;;f;nom
Espace de confiance;Trust environment;;;nom
Espace partagé de travail en ligne;–;;;nom
Étiquette;Label;;f;nom
Évanouissement;Fading;;m;nom
Exploitation;Operation;;f;nom
Explorateur de modèle;Model-checker;;;nom
Exploration de données;Datamining;;;nom
Exploration de modèle;Model checking;;;nom
Extensibilité;Scalability;;f;nom
Extranet;Extranet;;m;nom
Femtocellule;Femtocell;;f;nom
Fenêtre;Window;;f;nom
Fenêtre d’attente;Splash screen;;;nom
Fenêtre intruse;Pop-up;;;nom
Fenêtre intruse;Pop-up window;;;nom
Fibre noire;Dark fiber;en_us;;nom
Fibre noire;Dark fibre;en_uk;;nom
Fil de la discussion;Thread;;m;nom
Fil;Thread;;m;nom
Fil d’exécution;Thread;;;nom
Filoutage;Phishing;;m;nom
Fixage de puce;Die bond;;;nom
Fixage de puce;Die bonding;;;nom
Flux (en);Streaming;;;locution adjective
Flux de dépêches;Really simple syndication (RSS);;;nom
Flux de dépêches;Rss feed;;;nom
Flux de travaux;Workflow;;m;nom
Flux;Workflow;;m;nom
Foire aux questions (FAQ);Faq file;;;nom
Foire aux questions (FAQ);Frequently asked questions (FAQ);;;nom
Foire aux questions (FAQ);Frequently asked questions file;;;nom
Fonction modem (mobile);Tethering;;;nom
Fond de panier;Back panel;;;nom
Fond de panier;Backplane;;;nom
Fonderie de silicium;Silicon foundry;;;nom
Fondeur de silicium;Silicon founder;;;nom
Format;Format;;m;nom
Formatage d’une disquette;Diskette formatting;;;nom
Formater;Format (to);;;verbe
Formation en ligne;E-learning;;;nom
Formation en ligne;E-training;;;nom
Formation en ligne;On-line training;;;nom
Forme;Pattern;;f;nom
Forum;Newsgroup;;m;nom
Fouineur;Hacker;;m;nom
Fournisseur d’accès;Access provider;;;nom
